name,date,close,open,high,low,volume
VNINDEX,03-02-2025,1253.03,1259.09,1259.09,1249.78,462591784
VNINDEX,04-02-2025,1264.68,1256.91,1264.68,1255.44,541783695
VNINDEX,05-02-2025,1269.61,1268.43,1271.8,1266.18,490473888
VNINDEX,06-02-2025,1271.48,1273.58,1275.47,1268.28,489762130
VNINDEX,07-02-2025,1275.2,1271.98,1279.35,1269.12,503342974
VNINDEX,10-02-2025,1263.26,1272.27,1274.47,1263.26,652223852
VNINDEX,11-02-2025,1268.45,1265.44,1268.45,1263.11,525259444
VNINDEX,12-02-2025,1266.91,1270.83,1272.86,1266.59,424173879
VNINDEX,13-02-2025,1270.35,1267.25,1270.67,1263.85,422929502
VNINDEX,14-02-2025,1276.08,1277.52,1280.6,1274,572553338
VNINDEX,17-02-2025,1272.72,1277.12,1278.49,1272.72,703389002
VNINDEX,18-02-2025,1278.14,1274.05,1283.34,1272.19,576613065
VNINDEX,19-02-2025,1288.56,1280.6,1288.56,1278.92,691882854
VNINDEX,20-02-2025,1292.98,1292.94,1295.82,1290.84,665568367
VNINDEX,21-02-2025,1296.75,1293.63,1296.75,1290.98,615945439
VNINDEX,24-02-2025,1304.56,1298.39,1304.56,1294.69,745383925
VNINDEX,25-02-2025,1303.16,1306.86,1309.97,1298.54,764641989
VNINDEX,26-02-2025,1302.96,1305.16,1306.49,1301.2,659793287
VNINDEX,27-02-2025,1307.8,1307.31,1307.87,1296.43,796881038
VNINDEX,28-02-2025,1305.36,1307.14,1308.77,1300.66,713323836
VNINDEX,03-03-2025,1309.37,1306.97,1309.77,1304.3,748242113
VNINDEX,04-03-2025,1311.91,1306.82,1313.21,1298.28,872086925
VNINDEX,05-03-2025,1304.71,1312.84,1319.52,1304.71,711384061
VNINDEX,06-03-2025,1318.22,1308.02,1318.22,1307.91,926189171
VNINDEX,07-03-2025,1326.05,1320.08,1327.07,1318.71,825175457
VNINDEX,10-03-2025,1330.28,1331.6,1335.87,1326.51,801944906
VNINDEX,11-03-2025,1332.54,1319.17,1332.54,1315.92,791992117
VNINDEX,12-03-2025,1334.41,1337.63,1342.91,1331.75,811987921
VNINDEX,13-03-2025,1326.27,1335.66,1340.91,1324.87,927789782
VNINDEX,14-03-2025,1326.15,1325.84,1333.32,1324.3,872541760
VNINDEX,17-03-2025,1336.26,1330.62,1336.26,1329.05,780751957
VNINDEX,18-03-2025,1330.97,1340.16,1341.65,1330.97,759403354
VNINDEX,19-03-2025,1324.63,1330.4,1330.7,1320.85,768370525
VNINDEX,20-03-2025,1323.93,1326.8,1332.41,1316.11,783924251
